Country.Name,E2010,E2011,E2012,E2013,E2014,E2015,E2016,E2017
Mozambique,21774677404,23811739934,26015298628,28362380556,31050225059,33451599739,35090043503,37093252342
Mauritania,11727781039,12535969842,13516792650,14591655218,15697264067,16087233150,16588414158,17415817943
Mauritius,19521611695,20742028226,21878902452,23010981220,24324289338,25457900425,26724030480,28270664554
Malawi,15346473086,16427533196,17058320129,18260278597,19666270582,20433114172,21169672700,22434950110
Malaysia,5.81E+11,6.25E+11,6.72E+11,7.15E+11,7.73E+11,8.21E+11,8.65E+11,9.33E+11
North America,1.64E+13,1.70E+13,1.77E+13,1.83E+13,1.91E+13,1.98E+13,2.03E+13,2.12E+13
Namibia,18010634844,19322996885,20690409327,22235604072,24095331316,25835207465,26411068149,26679511307
Niger,13100141933,13679116082,15593498779,16703098921,18300479019,19298366103,20470418145,21880262428
Nigeria,7.90E+11,8.49E+11,9.02E+11,9.79E+11,1.06E+12,1.10E+12,1.09E+12,1.12E+12
Nicaragua,22642650816,24575775914,26674196146,28479632754,30407102173,32205030041,34042833260,36311830072
Netherlands,7.48E+11,7.78E+11,7.92E+11,8.27E+11,8.30E+11,8.52E+11,8.74E+11,9.34E+11
Norway,2.83E+11,3.08E+11,3.28E+11,3.41E+11,3.39E+11,3.14E+11,3.04E+11,3.28E+11
Nepal,52569296797,55503825717,59272944720,62803390527,67824007260,70827105300,72023121031,79194311734
New Zealand,1.36E+11,1.44E+11,1.45E+11,1.61E+11,1.68E+11,1.72E+11,1.84E+11,1.94E+11
OECD members,4.38E+13,4.58E+13,4.73E+13,4.93E+13,5.11E+13,5.29E+13,5.46E+13,5.73E+13
Oman,1.35E+11,1.36E+11,1.52E+11,1.61E+11,1.69E+11,1.79E+11,1.90E+11,1.92E+11
Pakistan,7.16E+11,7.51E+11,7.92E+11,8.41E+11,8.97E+11,9.50E+11,1.01E+12,1.09E+12
Panama,55773286772,63380187782,70912477896,77138121839,82579824307,88247614675,93643298813,1.01E+11
Peru,2.86E+11,3.11E+11,3.36E+11,3.62E+11,3.78E+11,3.94E+11,4.15E+11,4.33E+11
Philippines,5.14E+11,5.44E+11,5.91E+11,6.44E+11,6.97E+11,7.47E+11,8.07E+11,8.77E+11
Palau,239719685.9,257909673.7,272311490.9,271260482.4,289589765,323216516.5,328471540.4,322763829
Papua New Guinea,22222313578,22937726619,24464328522,25847066826,29891434039,33081127777,34814036331,36025584650
Poland,8.01E+11,8.70E+11,9.07E+11,9.40E+11,9.74E+11,1.02E+12,1.05E+12,1.14E+12
Pre-demographic dividend,2.33E+12,2.49E+12,2.69E+12,2.90E+12,3.09E+12,3.22E+12,3.36E+12,3.49E+12
Puerto Rico,1.24E+11,1.26E+11,1.28E+11,1.30E+11,1.31E+11,1.31E+11,1.31E+11,1.30E+11
Portugal,2.89E+11,2.83E+11,2.78E+11,2.92E+11,2.99E+11,3.07E+11,3.21E+11,3.35E+11
